21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Starting EASY_prep_Big_down
21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Loading configuration
21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Filling configuration with API keys and funds
21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Configuring client with symbol: KAS,interval: 1m
21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Client initialized successfully
21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Начинаем торговать
21-11-2024 09:51:17 | EASY_prep_Big_down | INFO | Fetching initial USDT balance
21-11-2024 09:51:18 | EASY_prep_Big_down | INFO | Initial money: 103.742390183128, money_old: 51.0
21-11-2024 09:51:18 | EASY_prep_Big_down | ERROR | Error during preparation || error: [Errno 2] No such file or directory: 'back_end/strategies/bets/MEXC_KAS_BIG_DOWN_1m.json'
21-11-2024 09:51:18 | start_EASY_Big_down | ERROR | Error in start_EASY_Big_down: [Errno 2] No such file or directory: 'back_end/strategies/bets/MEXC_KAS_BIG_DOWN_1m.json'
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Starting EASY_prep_Big_down
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Loading configuration
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Filling configuration with API keys and funds
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Configuring client with symbol: KAS,interval: 1m
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Client initialized successfully
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Начинаем торговать
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Fetching initial USDT balance
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Initial money: 103.742390183128, money_old: 51.0
21-11-2024 15:11:52 | EASY_prep_Big_down | INFO | Preparation complete
21-11-2024 15:11:52 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:12:05 | EASY_Big_down_loop | INFO | На состояние 15:12:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:12:06 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:12:06 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Starting EASY_prep_Big_down
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Loading configuration
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Filling configuration with API keys and funds
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Configuring client with symbol: KAS,interval: 1m
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Client initialized successfully
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Начинаем торговать
21-11-2024 15:12:36 | EASY_prep_Big_down | INFO | Fetching initial USDT balance
21-11-2024 15:12:37 | EASY_prep_Big_down | INFO | Initial money: 103.742390183128, money_old: 51.0
21-11-2024 15:12:37 | EASY_prep_Big_down | INFO | Preparation complete
21-11-2024 15:12:37 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:13:05 | EASY_Big_down_loop | INFO | На состояние 15:13:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:13:05 | EASY_Big_down_loop | INFO | На состояние 15:13:05 активных ставок: 0, денег: 51.0$
21-11-2024 15:13:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:13:05 | EASY_Big_down_loop | INFO | No active bets. New bet size: 1.7
21-11-2024 15:13:05 | EASY_Big_down_loop | INFO | Starting iteration
21-11-2024 15:13:05 | EASY_Big_down_loop | INFO | Starting iteration
